"Sample"	"Sampling"	"Wells"	"Tox"	"Conc"	"Unit"	"Treatment"	"term"	"estimate"	"auc"
"53"	"Div5_set2"	"Mid"	"F11"	"Para"	0.005	"mM"	NA	"l"	14.0176537688969	18.3310807823656
"54"	"Div5_set2"	"Mid"	"F11"	"Para"	0.005	"mM"	NA	"r"	0.0118278879957109	18.3310807823656
"55"	"Div5_set2"	"Mid"	"F10"	"Para"	0.014	"mM"	NA	"K"	0.191355944958589	19.2662913721085
"56"	"Div5_set2"	"Mid"	"F10"	"Para"	0.014	"mM"	NA	"l"	16.3513674311696	19.2662913721085
"57"	"Div5_set2"	"Mid"	"F10"	"Para"	0.014	"mM"	NA	"r"	0.0159396303864369	19.2662913721085
"58"	"Div5_set2"	"Mid"	"F09"	"Para"	0.038	"mM"	NA	"K"	0.171989461978479	16.9216606953515
"59"	"Div5_set2"	"Mid"	"F09"	"Para"	0.038	"mM"	NA	"l"	18.1019150040167	16.9216606953515
"60"	"Div5_set2"	"Mid"	"F09"	"Para"	0.038	"mM"	NA	"r"	0.0132874194329627	16.9216606953515
"61"	"Div5_set2"	"Mid"	"F08"	"Para"	0.102	"mM"	NA	"K"	0.20894678610771	19.7245462468182
"62"	"Div5_set2"	"Mid"	"F08"	"Para"	0.102	"mM"	NA	"l"	28.4235468388665	19.7245462468182
"63"	"Div5_set2"	"Mid"	"F08"	"Para"	0.102	"mM"	NA	"r"	0.102965814110671	19.7245462468182
"64"	"Div5_set2"	"Mid"	"F07"	"Para"	0.274	"mM"	NA	"K"	0.165294962312091	12.5692914023534
"65"	"Div5_set2"	"Mid"	"F07"	"Para"	0.274	"mM"	NA	"l"	40.2445644432763	12.5692914023534
"66"	"Div5_set2"	"Mid"	"F07"	"Para"	0.274	"mM"	NA	"r"	0.0124332633171612	12.5692914023534
"67"	"Div5_set2"	"Mid"	"F06"	"Para"	0.731	"mM"	NA	"K"	0.242851151801973	5.52340500058503
"68"	"Div5_set2"	"Mid"	"F06"	"Para"	0.731	"mM"	NA	"l"	90.5962299172195	5.52340500058503
"69"	"Div5_set2"	"Mid"	"F06"	"Para"	0.731	"mM"	NA	"r"	0.0130458276209276	5.52340500058503
"70"	"Div5_set2"	"Mid"	"F05"	"Para"	1.956	"mM"	NA	NA	0	0
"71"	"Div5_set2"	"Mid"	"F04"	"Para"	5.23	"mM"	NA	NA	0	0
"72"	"Div5_set2"	"Mid"	"F03"	"Para"	13.985	"mM"	NA	NA	0	0
"73"	"Div5_set2"	"Mid"	"F02"	"Para"	37.397	"mM"	NA	NA	0	0
"74"	"Div5_set2"	"Mid"	"F01"	"Para"	100	"mM"	NA	NA	0	0
"75"	"Div5_set2"	"Mid"	"E12"	"Oflox"	0.05	"µM"	NA	"K"	0.0465954646205613	5.44062628515552
"76"	"Div5_set2"	"Mid"	"E12"	"Oflox"	0.05	"µM"	NA	"l"	-2.39852504114801	5.44062628515552
"77"	"Div5_set2"	"Mid"	"E12"	"Oflox"	0.05	"µM"	NA	"r"	0.00292124133143501	5.44062628515552
"78"	"Div5_set2"	"Mid"	"E11"	"Oflox"	0.08	"µM"	NA	"K"	0.161484953496382	16.2973871643726
"79"	"Div5_set2"	"Mid"	"E11"	"Oflox"	0.08	"µM"	NA	"l"	16.7211777024335	16.2973871643726
"80"	"Div5_set2"	"Mid"	"E11"	"Oflox"	0.08	"µM"	NA	"r"	0.0147397368023637	16.2973871643726
"81"	"Div5_set2"	"Mid"	"E10"	"Oflox"	0.13	"µM"	NA	"K"	0.173137263956171	17.5614015937149
"82"	"Div5_set2"	"Mid"	"E10"	"Oflox"	0.13	"µM"	NA	"l"	16.0002870281549	17.5614015937149
"83"	"Div5_set2"	"Mid"	"E10"	"Oflox"	0.13	"µM"	NA	"r"	0.0152923666668485	17.5614015937149
"84"	"Div5_set2"	"Mid"	"E09"	"Oflox"	0.21	"µM"	NA	"K"	0.208579550257516	21.0773472142536
"85"	"Div5_set2"	"Mid"	"E09"	"Oflox"	0.21	"µM"	NA	"l"	15.2336232138378	21.0773472142536
"86"	"Div5_set2"	"Mid"	"E09"	"Oflox"	0.21	"µM"	NA	"r"	0.0156876697531528	21.0773472142536
"87"	"Div5_set2"	"Mid"	"E08"	"Oflox"	0.34	"µM"	NA	"K"	0.21512670962513	21.9891965580426
"88"	"Div5_set2"	"Mid"	"E08"	"Oflox"	0.34	"µM"	NA	"l"	14.8090946499122	21.9891965580426
"89"	"Div5_set2"	"Mid"	"E08"	"Oflox"	0.34	"µM"	NA	"r"	0.0178935340454484	21.9891965580426
"90"	"Div5_set2"	"Mid"	"E07"	"Oflox"	0.56	"µM"	NA	"K"	0.185605798509948	18.5049675265437
"91"	"Div5_set2"	"Mid"	"E07"	"Oflox"	0.56	"µM"	NA	"l"	16.6540648244385	18.5049675265437
