sampling	CellsL	CellsD	CellsT	pDead	DIV	Tox	BOT	ToxC
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	1	36	1.00E-07
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	2	3	2.51E-08
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	3	23	6.31E-09
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	4	28	1.58E-09
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	5	7	3.98E-10
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	6	18	1.00E-10
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	20	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	27	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	35	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	20	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	27	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	35	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	20	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	27	0
01/10/13	2714703.665	29025.12517	2743728.79	1.05787151	1	0	35	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	1	32	1.00E-07
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	2	25	2.51E-08
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	3	12	6.31E-09
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	4	24	1.58E-09
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	5	19	3.98E-10
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	6	5	1.00E-10
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	2	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	43	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	44	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	2	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	43	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	44	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	2	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	43	0
01/10/13	66114.41415	31535.736	97650.15016	32.29461087	2	0	44	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	1	37	1.00E-07
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	2	42	2.51E-08
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	3	10	6.31E-09
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	4	1	1.58E-09
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	5	16	3.98E-10
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	6	40	1.00E-10
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	4	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	26	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	41	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	4	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	26	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	41	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	4	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	26	0
01/10/13	6691.958422	19827.24327	26519.2017	74.76561135	3	0	41	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	1	45	1.00E-07
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	2	14	2.51E-08
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	3	48	6.31E-09
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	4	39	1.58E-09
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	5	17	3.98E-10
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	6	47	1.00E-10
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	6	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	8	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	29	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	6	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	8	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	29	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	6	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	8	0
01/10/13	3337.98595	22103.86479	25441.85074	86.87994052	4	0	29	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	1	13	1.00E-07
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	2	31	2.51E-08
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	3	38	6.31E-09
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	4	21	1.58E-09
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	5	34	3.98E-10
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	6	46	1.00E-10
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	9	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	11	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	30	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	9	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	11	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	30	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	9	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	11	0
01/10/13	3123.057519	18596.30846	21719.36598	85.6208624	5	0	30	0
01/10/13	0	0	0	NA	S	0	NA	NA
01/10/13	0	0	0	NA	S	0	NA	NA
01/10/13	0	0	0	NA	S	0	NA	NA
01/10/13	0	0	0	NA	S	0	NA	NA
02/10/13	1808874.148	41575.56435	1850449.713	2.246781637	1	2	3	2.51E-08
02/10/13	1873270.767	51097.72613	1924368.493	2.655298417	1	5	7	3.98E-10
02/10/13	1804332.4	59702.98917	1864035.39	3.202889253	1	6	18	1.00E-10
02/10/13	1681346.808	62264.44766	1743611.256	3.571005145	1	0	20	0
02/10/13	1681346.808	62264.44766	1743611.256	3.571005145	1	0	27	0
02/10/13	1681346.808	62264.44766	1743611.256	3.571005145	1	0	35	0
02/10/13	1866239.175	71689.42882	1937928.604	3.699281216	1	3	23	6.31E-09
02/10/13	1746914.781	55951.46921	1802866.25	3.103473106	1	0	20	0
02/10/13	1746914.781	55951.46921	1802866.25	3.103473106	1	0	27	0
02/10/13	1746914.781	55951.46921	1802866.25	3.103473106	1	0	35	0
02/10/13	1786103.796	64644.10565	1850747.901	3.492863917	1	4	28	1.58E-09
02/10/13	1691253.048	95950.5801	1787203.628	5.368754773	1	0	20	0
02/10/13	1691253.048	95950.5801	1787203.628	5.368754773	1	0	27	0
02/10/13	1691253.048	95950.5801	1787203.628	5.368754773	1	0	35	0
02/10/13	1764201.125	119877.4729	1884078.598	6.362657749	1	1	36	1.00E-07
02/10/13	49002.35959	26465.7222	75468.08179	35.06876228	2	0	2	0
02/10/13	49002.35959	26465.7222	75468.08179	35.06876228	2	0	43	0
02/10/13	49002.35959	26465.7222	75468.08179	35.06876228	2	0	44	0
02/10/13	50981.55936	27093.05726	78074.61662	34.70149254	2	6	5	1.00E-10
02/10/13	50523.95329	24213.9118	74737.86509	32.39845261	2	3	12	6.31E-09
02/10/13	47888.80708	23276.00475	71164.81183	32.70718232	2	5	19	3.98E-10
02/10/13	44423.00462	20072.04061	64495.04523	31.12183353	2	4	24	1.58E-09
02/10/13	50033.02172	24864.43481	74897.45653	33.19796954	2	2	25	2.51E-08
02/10/13	49111.30234	23085.2529	72196.55524	31.97556008	2	1	32	1.00E-07
02/10/13	43528.03391	17411.21356	60939.24747	28.57142857	2	0	2	0
02/10/13	43528.03391	17411.21356	60939.24747	28.57142857	2	0	43	0
02/10/13	43528.03391	17411.21356	60939.24747	28.57142857	2	0	44	0
02/10/13	47744.09072	16878.43469	64622.52541	26.1185006	2	0	2	0
02/10/13	47744.09072	16878.43469	64622.52541	26.1185006	2	0	43	0
02/10/13	47744.09072	16878.43469	64622.52541	26.1185006	2	0	44	0
02/10/13	9976.470756	25836.50119	35812.97194	72.14285714	3	4	1	1.58E-09
02/10/13	10767.34986	26782.65176	37550.00162	71.3253012	3	0	4	0
02/10/13	10767.34986	26782.65176	37550.00162	71.3253012	3	0	26	0
02/10/13	10767.34986	26782.65176	37550.00162	71.3253012	3	0	41	0
02/10/13	8470.301967	21448.99047	29919.29243	71.68949772	3	3	10	6.31E-09
02/10/13	6210.660754	13728.82903	19939.48979	68.85245902	3	5	16	3.98E-10
02/10/13	8649.325564	25187.59642	33836.92199	74.43820225	3	0	4	0
02/10/13	8649.325564	25187.59642	33836.92199	74.43820225	3	0	26	0
02/10/13	8649.325564	25187.59642	33836.92199	74.43820225	3	0	41	0
02/10/13	6121.503646	15693.30935	21814.81299	71.93877551	3	1	37	1.00E-07
02/10/13	3843.777362	11411.21404	15254.9914	74.80314961	3	6	40	1.00E-10
02/10/13	5701.826327	12968.85988	18670.68621	69.46107784	3	0	4	0
02/10/13	5701.826327	12968.85988	18670.68621	69.46107784	3	0	26	0
02/10/13	5701.826327	12968.85988	18670.68621	69.46107784	3	0	41	0
02/10/13	3785.842235	10258.41122	14044.25345	73.04347826	3	2	42	2.51E-08
